step,loss,acc_train,gnorm_theta,gnorm_phi,disp
0,0.8699249029159546,0.3308333158493042,3.037689208984375,2.201734258304958,0.0
25,0.6795079708099365,0.5662083029747009,2.389120101928711,1.665672918892167,0.019666925072669983
50,0.5623778700828552,0.7478333115577698,1.8799529075622559,1.3440669498286955,0.03508609160780907
75,0.48797500133514404,0.8264166712760925,1.5225154161453247,1.1463612356049335,0.04734506458044052
100,0.4374130666255951,0.859208345413208,1.2750836610794067,1.0152621863844942,0.057411275804042816
125,0.4009188115596771,0.8772916793823242,1.0959711074829102,0.9209357736739522,0.06592395156621933
150,0.37326422333717346,0.887749969959259,0.9626716375350952,0.8489257803820939,0.07329639047384262
175,0.35148999094963074,0.8945416808128357,0.8588906526565552,0.790990921955734,0.07980315387248993
200,0.33388862013816833,0.9000833034515381,0.775944173336029,0.7432673678922332,0.08562088757753372
225,0.31931453943252563,0.9037500023841858,0.707996129989624,0.7028977468620199,0.09088480472564697
250,0.30702340602874756,0.9074999690055847,0.6525051593780518,0.6685701675292717,0.09569115191698074
275,0.2964755892753601,0.9103749990463257,0.6055647134780884,0.6388223834396697,0.10011806339025497
300,0.28728941082954407,0.9128333330154419,0.5658499002456665,0.6124357334945155,0.10422558337450027
325,0.27919700741767883,0.9142916798591614,0.5316051244735718,0.5890056866847717,0.10805807262659073
350,0.2720133066177368,0.9157083034515381,0.5007871389389038,0.5681809716779624,0.11164779216051102
375,0.2655772268772125,0.9172083139419556,0.47458818554878235,0.5496384558514061,0.11502663046121597
400,0.25977224111557007,0.9184583425521851,0.45046699047088623,0.5325313265609375,0.11821702867746353
425,0.2544945180416107,0.9195833206176758,0.43013131618499756,0.5172467004004673,0.12124130129814148
450,0.24966271221637726,0.9206249713897705,0.411294549703598,0.5031377287062004,0.12411878257989883
475,0.24521665275096893,0.921625018119812,0.3946419954299927,0.49025398091789385,0.12686331570148468
500,0.2411041259765625,0.9225416779518127,0.3793123662471771,0.4784319721358489,0.12948797643184662
525,0.23728616535663605,0.9234583377838135,0.3656858205795288,0.4671623312324818,0.13200244307518005
550,0.2337217926979065,0.9242083430290222,0.35302209854125977,0.4566967925156586,0.13441935181617737
575,0.2303919494152069,0.925208330154419,0.3410748839378357,0.44718785484791473,0.1367427259683609
600,0.22726841270923615,0.9260416626930237,0.3301466405391693,0.43826269355065123,0.1389814019203186
625,0.22432997822761536,0.9265833497047424,0.32007384300231934,0.429987164538772,0.14114141464233398
650,0.22155721485614777,0.9277083277702332,0.31088787317276,0.4223127997887866,0.14322805404663086
675,0.21893367171287537,0.9281249642372131,0.30210959911346436,0.41515055462768297,0.14524708688259125
700,0.2164490967988968,0.9290416836738586,0.2937825620174408,0.40817167909084484,0.14720289409160614
725,0.2140880525112152,0.9296666383743286,0.2861887514591217,0.40178665576171474,0.149099662899971
750,0.21184256672859192,0.9299166798591614,0.279075026512146,0.39571672892613635,0.1509401798248291
775,0.20969808101654053,0.9305416345596313,0.2727392315864563,0.3897877984693551,0.15273097157478333
800,0.20764705538749695,0.9309999942779541,0.26643091440200806,0.3843142394044092,0.15447454154491425
825,0.2056829035282135,0.9316666722297668,0.26056212186813354,0.3791061459718684,0.15617267787456512
850,0.20379945635795593,0.9322082996368408,0.2548708915710449,0.374081816235513,0.15782782435417175
875,0.20199258625507355,0.9329999685287476,0.24970906972885132,0.3693725018042415,0.1594420224428177
900,0.200252965092659,0.9334166646003723,0.2448696792125702,0.3649372521646696,0.16101841628551483
925,0.19857747852802277,0.9340000152587891,0.2401585578918457,0.3605426101662426,0.16255854070186615
950,0.19696173071861267,0.934249997138977,0.23557014763355255,0.3563514831907604,0.16406454145908356
975,0.19540365040302277,0.934624969959259,0.23118948936462402,0.35249298655050104,0.16553811728954315
