step,loss,acc_train,gnorm_theta,gnorm_phi,disp
0,0.6842584609985352,0.5507083535194397,2.0381367206573486,1.8373914295133977,0.0
25,0.5371338725090027,0.8307499885559082,1.583204984664917,1.429996220855714,0.013012466952204704
50,0.4438232481479645,0.8928333520889282,1.2850433588027954,1.1747697923783145,0.023289378732442856
75,0.3798142075538635,0.9140416383743286,1.0747475624084473,0.994721410345915,0.031694311648607254
100,0.3335554599761963,0.9235833287239075,0.9198850989341736,0.85848911222473,0.038756292313337326
125,0.2988780438899994,0.9294583201408386,0.8016520142555237,0.7514822118329948,0.04481144994497299
150,0.2721097469329834,0.9330416321754456,0.7081493735313416,0.6653340915834558,0.05009141191840172
175,0.2509576380252838,0.9363332986831665,0.6328073740005493,0.5950566679255037,0.05475698411464691
200,0.23390255868434906,0.9386249780654907,0.5706775188446045,0.5370162604703025,0.05892417952418327
225,0.2199060171842575,0.940541684627533,0.5190752744674683,0.4887640604394872,0.06268143653869629
250,0.20823471248149872,0.9419999718666077,0.47576332092285156,0.44842038300406967,0.06609483808279037
275,0.19834749400615692,0.9430416822433472,0.4393687844276428,0.4144930211812524,0.06922034919261932
300,0.18985575437545776,0.9442916512489319,0.40813207626342773,0.38578797725075176,0.07210100442171097
325,0.18246982991695404,0.9456250071525574,0.3813505470752716,0.36137750740389085,0.07477113604545593
350,0.17597293853759766,0.9471250176429749,0.3580443859100342,0.3404969130725634,0.07725802809000015
375,0.17019741237163544,0.9482083320617676,0.33791691064834595,0.3225013292806186,0.07958541065454483
400,0.16501334309577942,0.9490833282470703,0.32032182812690735,0.3068940152264025,0.08177325874567032
425,0.1603235900402069,0.949874997138977,0.3042137026786804,0.29322311958271835,0.08383738994598389
450,0.1560506522655487,0.9507916569709778,0.29029062390327454,0.2812093328110796,0.08579090982675552
475,0.15213000774383545,0.9518333077430725,0.27761906385421753,0.27058414124763164,0.08764618635177612
500,0.1485147327184677,0.9527083039283752,0.2662320137023926,0.26106286265085726,0.08941241353750229
525,0.14516086876392365,0.953374981880188,0.2559031546115875,0.25254085588538877,0.0910986140370369
550,0.14203833043575287,0.9542499780654907,0.24628043174743652,0.24479079494601008,0.0927109569311142
575,0.13911788165569305,0.9550833106040955,0.23771962523460388,0.23775897299719567,0.09425689280033112
600,0.13637608289718628,0.9556666612625122,0.2297823280096054,0.2313471024198361,0.09574104845523834
625,0.1337919682264328,0.9561249613761902,0.22272498905658722,0.22547269024126076,0.09716936200857162
650,0.13134725391864777,0.9568749666213989,0.21606071293354034,0.22005603408235827,0.09854638576507568
675,0.12902940809726715,0.9574166536331177,0.20994819700717926,0.21504975100432183,0.09987515211105347
700,0.12682639062404633,0.9583333134651184,0.2040582299232483,0.21035665689931526,0.10115998983383179
725,0.12473015487194061,0.9587916731834412,0.19839569926261902,0.20599025384847627,0.10240315645933151
750,0.12273123860359192,0.9598749876022339,0.19322484731674194,0.2018974570893758,0.10360772907733917
775,0.12081927061080933,0.9604166746139526,0.18863460421562195,0.19808137464055536,0.10477686673402786
800,0.11898815631866455,0.9609166383743286,0.18401433527469635,0.19444694854233105,0.10591293126344681
825,0.11723221838474274,0.9612500071525574,0.17974455654621124,0.19100367573022403,0.10701779276132584
850,0.11554469913244247,0.9619166851043701,0.17582261562347412,0.1877835230297696,0.1080932691693306
875,0.11392097920179367,0.9622916579246521,0.17197301983833313,0.1846969772342191,0.10914118587970734
900,0.1123574823141098,0.9627082943916321,0.16831251978874207,0.18176489490606867,0.11016251146793365
925,0.11084962636232376,0.9629999995231628,0.16503441333770752,0.17895236193319408,0.11115863174200058
950,0.10939249396324158,0.9632083177566528,0.16189220547676086,0.17630007523096036,0.1121315136551857
975,0.10798366367816925,0.9634999632835388,0.15882082283496857,0.17377043905602457,0.11308186501264572
1000,0.10662109404802322,0.9638333320617676,0.15563535690307617,0.17128255294887398,0.11401096731424332
1025,0.10530240088701248,0.9642499685287476,0.1527838408946991,0.16893217319013668,0.11491987854242325
1050,0.10402420163154602,0.9646250009536743,0.15019607543945312,0.16668345023139208,0.11580970138311386
1075,0.10278356820344925,0.9649999737739563,0.14762568473815918,0.1645497313334009,0.11668135225772858
1100,0.10157965868711472,0.965541660785675,0.14509369432926178,0.16246979052585772,0.11753550916910172
1125,0.10041030496358871,0.965958297252655,0.1425957828760147,0.16047624088957566,0.11837292462587357
