step,epoch,loss,n_valid_px,grad_theta_norm,grad_phi_norm,egr,r_rms
0,1,1.452515721321106,49237,10.454735693124954,16.85372399862516,0.6203219949476554,0.8830886483192444
1,1,1.2893553972244263,28188,5.878568823373559,7.83830380898171,0.749979710742611,0.8334453105926514
2,1,1.4954241514205933,8369,5.193554940905337,7.589463623539915,0.6843111975391812,0.8908647298812866
3,1,1.0701836347579956,22232,8.705155469634473,11.466013975064188,0.75921375018078,0.7457462549209595
4,1,1.3413125276565552,22154,7.587991674038413,12.0985101468456,0.6271839740545389,0.8390814661979675
5,1,1.4644365310668945,7789,5.077552364048873,10.120543333974608,0.5017074870874824,0.8927961587905884
6,1,0.6321141719818115,4334,9.499375975344186,11.898052805989606,0.7983975302716173,0.5455396175384521
7,1,1.184051513671875,28643,2.5297705011735596,3.9769562414325703,0.6361072004809525,0.7973870635032654
8,1,0.6248081922531128,15546,4.885357930278614,8.653660712518555,0.5645423471723123,0.5376721024513245
9,1,1.5863317251205444,553,14.607686023697115,21.940096655472487,0.6657986176215352,0.9294962882995605
10,1,1.6512765884399414,1985,9.25722242317854,15.885353210611864,0.5827520672939064,0.9626371264457703
11,1,0.8285013437271118,4558,5.556305254050767,7.82981163525618,0.7096346007905289,0.6499788165092468
12,1,1.2890628576278687,6069,4.807202681039414,6.450247034346019,0.745274197320113,0.8363878130912781
13,1,0.7052777409553528,42553,4.250322217508037,5.2247362235271435,0.81349986595838,0.5897740721702576
14,1,0.939155101776123,16917,3.0495137061498228,3.9656356138598245,0.7689848496142859,0.7085345983505249
15,1,0.6050266027450562,11530,3.840433938820235,3.7211861559677746,1.0320456375610736,0.5373380184173584
16,1,0.6478126645088196,21333,3.4059462105652254,4.2560869731432955,0.8002529628874087,0.5556085705757141
17,1,1.527846097946167,8049,5.3216658564017365,12.410481036253028,0.4288041568135722,0.9423449635505676
18,1,0.5895288586616516,12918,3.3266631305174807,5.065819893275434,0.65668799929756,0.5259787440299988
19,1,0.5353079438209534,8545,13.594815758330771,5.022511445051742,2.7067764617484134,0.5142399072647095
20,1,0.43154236674308777,7696,24.207933572522354,7.811330694330855,3.0990793399757592,0.4304318130016327
21,1,0.37266483902931213,23642,20.863162401952053,7.317969576608686,2.8509495951768726,0.39294013381004333
