step,grad_theta_norm,grad_phi_norm,egr
0,0.0,0.2817985331501807,0.0
1,0.0,0.2720469233289581,0.0
2,0.0,0.2578074312164764,0.0
3,0.0,0.2367462068319024,0.0
4,0.0,0.2238601987829221,0.0
5,0.0,0.22033875912398385,0.0
6,0.0,0.20102432510916157,0.0
7,0.0,0.1924571697878952,0.0
8,0.0,0.17835633693275701,0.0
9,0.0,0.1578682874598388,0.0
10,0.0,0.14485695866597603,0.0
11,0.0,0.11965815146513294,0.0
12,0.0,0.10905617833762853,0.0
13,0.0,0.0975930246932846,0.0
14,0.0,0.11417942944972881,0.0
15,0.0,0.06306412520964558,0.0
16,0.0,0.04858689169924856,0.0
17,0.0,0.05085928459290374,0.0
18,0.0,0.03221415274907892,0.0
19,0.0,0.03181810996889804,0.0
20,0.0,0.03608633528627673,0.0
21,0.0,0.029600092181565674,0.0
22,0.0,0.04231458798916649,0.0
23,0.0,0.050869508353720096,0.0
24,0.0,0.04979558896217404,0.0
25,0.0,0.07518238608302114,0.0
26,0.0,0.07148774761710124,0.0
27,0.0,0.0562977190661791,0.0
28,0.0,0.07779468074087313,0.0
29,0.0,0.051827600708557346,0.0
30,0.0,0.10142365192362286,0.0
31,0.0,0.05650836577599068,0.0
32,0.0,0.07672647730736348,0.0
33,0.0,0.06899017573074753,0.0
34,0.0,0.04917393982503807,0.0
35,0.0,0.10331296552688525,0.0
36,0.0,0.04329231028723278,0.0
37,0.0,0.050603727071848084,0.0
38,0.0,0.03201715127550259,0.0
39,0.0,0.055686449084444596,0.0
40,0.0,0.04286622347348405,0.0
41,0.0,0.04954911768780372,0.0
42,0.0,0.08702465184958029,0.0
43,0.0,0.028125377709562416,0.0
44,0.0,0.05802981050049351,0.0
45,0.0,0.04230668939089409,0.0
46,0.0,0.03889440161906796,0.0
47,0.0,0.06668916984985462,0.0
48,0.0,0.03614855772708895,0.0
49,0.0,0.04196715015691403,0.0
50,0.0,0.04081177630076545,0.0
51,0.0,0.0315775586173858,0.0
52,0.0,0.03166097231467485,0.0
53,0.0,0.04178016754349588,0.0
54,0.0,0.03841638444026798,0.0
55,0.0,0.029204992026699277,0.0
56,0.0,0.050064096796696926,0.0
57,0.0,0.031014039431281004,0.0
58,0.0,0.03364459770645675,0.0
59,0.0,0.042983300890796154,0.0
60,0.0,0.029802435912869712,0.0
61,0.0,0.03169265899300459,0.0
62,0.0,0.04715979692404684,0.0
63,0.0,0.05226613718949106,0.0
64,0.0,0.03022013556846111,0.0
65,0.0,0.024457731087063506,0.0
66,0.0,0.042911450272964294,0.0
67,0.0,0.03150370161851575,0.0
68,0.0,0.03165015542275056,0.0
69,0.0,0.05684389643639781,0.0
70,0.0,0.043633635743636504,0.0
71,0.0,0.035016949344644506,0.0
72,0.0,0.044806848282169874,0.0
73,0.0,0.04621001392007477,0.0
74,0.0,0.04603346596678848,0.0
75,0.0,0.043816752105944004,0.0
76,0.0,0.054263236604289077,0.0
77,0.0,0.05563021938682043,0.0
78,0.0,0.03796793982534024,0.0
79,0.0,0.05492809999499433,0.0
80,0.0,0.029011313303588665,0.0
81,0.0,0.024688508410454755,0.0
82,0.0,0.05748972834604473,0.0
83,0.0,0.02578373661741599,0.0
84,0.0,0.030269868456816312,0.0
85,0.0,0.028026804008649146,0.0
86,0.0,0.035764514474466456,0.0
87,0.0,0.06064395694549036,0.0
88,0.0,0.03727133535996361,0.0
89,0.0,0.046716420504568285,0.0
90,0.0,0.045937740714957355,0.0
91,0.0,0.03364098078140229,0.0
92,0.0,0.023362903449164044,0.0
93,0.0,0.029560762292320235,0.0
94,0.0,0.03479966801061147,0.0
95,0.0,0.03752759635023447,0.0
96,0.0,0.028192136856249585,0.0
97,0.0,0.061735975220135395,0.0
98,0.0,0.038003363276154556,0.0
99,0.0,0.07188276806980563,0.0
100,0.0,0.03354240016862916,0.0
101,0.0,0.02879762511758433,0.0
102,0.0,0.0422400209536569,0.0
103,0.0,0.03543810400168895,0.0
104,0.0,0.03430069928343206,0.0
105,0.0,0.04731801370115271,0.0
106,0.0,0.0309465757536529,0.0
107,0.0,0.03050043014712852,0.0
108,0.0,0.05790179131499824,0.0
109,0.0,0.03209166485980532,0.0
110,0.0,0.03582064523423412,0.0
111,0.0,0.03815315356248254,0.0
112,0.0,0.030507151990806856,0.0
113,0.0,0.03666408667554324,0.0
114,0.0,0.02822063280869209,0.0
115,0.0,0.030957325164020354,0.0
116,0.0,0.029649176121481834,0.0
117,0.0,0.04899165515543144,0.0
118,0.0,0.05499760521505617,0.0
119,0.0,0.038623251074999865,0.0
120,0.0,0.042450267576660615,0.0
121,0.0,0.04178605328623818,0.0
122,0.0,0.038905131149149695,0.0
123,0.0,0.05387050756312297,0.0
124,0.0,0.048265285563244005,0.0
125,0.0,0.03316042833282747,0.0
126,0.0,0.030426691511104175,0.0
127,0.0,0.03938863717419911,0.0
128,0.0,0.04564997198661789,0.0
129,0.0,0.05287120895924538,0.0
130,0.0,0.04168264246058788,0.0
131,0.0,0.04299609864323402,0.0
132,0.0,0.039274107743374656,0.0
133,0.0,0.03283957279426059,0.0
134,0.0,0.03013368400648314,0.0
135,0.0,0.030621280337694557,0.0
136,0.0,0.0407645308288431,0.0
137,0.0,0.04805468944205902,0.0
138,0.0,0.03604396271724586,0.0
139,0.0,0.04855564488381436,0.0
140,0.0,0.023870631021941403,0.0
141,0.0,0.02561318171478129,0.0
142,0.0,0.029102475071806258,0.0
143,0.0,0.03144303982510195,0.0
144,0.0,0.03128947472842127,0.0
145,0.0,0.034663037321687594,0.0
146,0.0,0.05898968061587385,0.0
147,0.0,0.025989922981864214,0.0
148,0.0,0.06950545471227271,0.0
149,0.0,0.03983189011725598,0.0
150,0.0,0.04280651909064947,0.0
151,0.0,0.08676080723605467,0.0
152,0.0,0.03648115571145626,0.0
153,0.0,0.03833707149414538,0.0
154,0.0,0.040869582857738215,0.0
155,0.0,0.03301612737195885,0.0
156,0.0,0.04814390653969993,0.0
157,0.0,0.02920365540561962,0.0
158,0.0,0.03721026165804436,0.0
159,0.0,0.06811699514608528,0.0
160,0.0,0.03392187781422505,0.0
161,0.0,0.028076829494414472,0.0
162,0.0,0.0689746947735589,0.0
163,0.0,0.04181616864046142,0.0
164,0.0,0.04148590691589904,0.0
165,0.0,0.04634888252499493,0.0
166,0.0,0.027322466076339865,0.0
167,0.0,0.0327157179027103,0.0
168,0.0,0.03268990048736755,0.0
169,0.0,0.034032219436923805,0.0
170,0.0,0.03440705111035507,0.0
171,0.0,0.048696551375780855,0.0
172,0.0,0.07249391307037645,0.0
173,0.0,0.03227676680807032,0.0
174,0.0,0.034697865683313046,0.0
175,0.0,0.07657071190884977,0.0
176,0.0,0.03003126106850413,0.0
177,0.0,0.030227500450328463,0.0
178,0.0,0.03551934739288235,0.0
179,0.0,0.054103311373145134,0.0
180,0.0,0.03578731026658084,0.0
181,0.0,0.031362376305187525,0.0
182,0.0,0.042726494117445765,0.0
183,0.0,0.03775443849414142,0.0
184,0.0,0.03896476936363109,0.0
185,0.0,0.027646365327414126,0.0
186,0.0,0.06822647753514696,0.0
187,0.0,0.0534226646922143,0.0
188,0.0,0.05835573286980426,0.0
189,0.0,0.04214783751656298,0.0
190,0.0,0.04135573810451121,0.0
191,0.0,0.030844687973233344,0.0
192,0.0,0.0355697623940131,0.0
193,0.0,0.0389381740815161,0.0
194,0.0,0.06361193229565883,0.0
195,0.0,0.04071753833720377,0.0
196,0.0,0.030278749688445874,0.0
