step,grad_theta_norm,grad_phi_norm,egr
0,0.027205666720409423,0.28115101113687613,0.09676531700989614
1,0.03574485247739903,0.21355596521124898,0.16737932111553494
2,0.05435687196272546,0.1872390980629536,0.29030727302563303
3,0.05907837801270988,0.14585702729270436,0.405043069291046
4,0.047817570913749816,0.09807926826409329,0.48754004551202623
5,0.02523161080960904,0.04773614484462347,0.5285640658919343
6,0.012705885629113423,0.04285470244753615,0.29648754753044465
7,0.05544645455737478,0.1016687689166566,0.5453636858953399
8,0.08047180401460179,0.11785194731146285,0.6828211654513059
9,0.09073714067774474,0.13256293216769738,0.6844835067639735
10,0.08328046338495354,0.1223058440553679,0.6809197387703855
11,0.06611778210148676,0.09840891215166549,0.6718678283824104
12,0.04693236169217872,0.08468580022453,0.5541939919938331
13,0.02659600039553612,0.06513617765464258,0.408313802755544
14,0.008053026960313079,0.02765453349320766,0.29120096934557993
15,0.0074762845343642505,0.039237167259942654,0.1905408839696303
16,0.02228899245087346,0.04656172806369751,0.4786977068355992
17,0.027369876283958847,0.04067663147525864,0.6728648683687973
18,0.03537865333091868,0.050667900748053205,0.6982458875914604
19,0.039234104814799275,0.0574390086094071,0.6830567895228372
20,0.03950572980125008,0.05128624823062631,0.770298689481606
21,0.03810097324243415,0.05099226767592129,0.7471911914927125
22,0.03753231147899634,0.04625728990266936,0.8113815477983523
23,0.02953521419338339,0.054013588544603364,0.5468108116617169
24,0.028255877485972837,0.035344923624905156,0.7994324102956447
25,0.023187054228803433,0.03213311181391231,0.7215937990183323
26,0.015000671184506624,0.02822673709814123,0.531434828326757
27,0.006349059096622395,0.04299461124721097,0.14767104323769373
28,0.007844150216516228,0.023278687279072067,0.33696703435813086
29,0.010290356404976497,0.026972150473465205,0.3815178331708655
30,0.017674442992737304,0.03757106796674771,0.4704269521406645
31,0.023248433928627535,0.05387196832627931,0.4315497400687169
32,0.02265239057883053,0.040755670663139974,0.5558095403583158
33,0.017459373892149438,0.03630622150294825,0.4808920666737726
34,0.01506124125145011,0.03185152608373236,0.4728577591975894
35,0.011124408105276356,0.03942689708307215,0.28215276696908625
36,0.005620019496139924,0.03927638934489022,0.14308900562744797
37,0.004840713488507048,0.037382507682347806,0.1294914062349906
38,0.009855945705032171,0.021220347601299448,0.464457316616443
39,0.009574082709079959,0.019919825981310046,0.4806308407303506
40,0.013726159131801592,0.031919455378659874,0.43002485376202104
41,0.017534556303810407,0.025952796704561285,0.675632630376711
42,0.012680035922775921,0.025480513532626207,0.49763659221554896
43,0.01791412379249771,0.026248364989184262,0.6824853204836495
44,0.011170791064044075,0.025934434404356235,0.43073201017011475
45,0.01657354659135366,0.029909225167183365,0.5541282496674022
46,0.009633062334535376,0.051354320235742684,0.18758036889841198
47,0.009014363715659524,0.018445421034869985,0.4887046870944119
48,0.006073299956365165,0.05176054721256344,0.11733453920621814
49,0.004534024266232089,0.019357952873297203,0.2342202347362982
50,0.005366989112999182,0.0355180958836431,0.15110576677393617
51,0.0079366479501055,0.026130085785312923,0.3037360081788464
52,0.009752281952945195,0.0516888668432721,0.18867277517084696
53,0.008697093987147301,0.041571454585179135,0.20920831550692817
54,0.006915825210636241,0.030698128397452572,0.2252849138185523
55,0.007327913306153471,0.07161197453839732,0.10232804434294741
56,0.008957609379968355,0.06155165566115058,0.14552995014684195
57,0.005390391982914666,0.019435738744568574,0.2773443321851451
58,0.008985202591812373,0.08103083553482732,0.11088621427135126
59,0.009631074150901503,0.023943769217798318,0.4022371775676873
60,0.010223183701011947,0.0338499931469854,0.3020143506770661
61,0.010676253762245527,0.0296562843719991,0.35999970960508604
62,0.00933238067467768,0.022842801033882816,0.40854799988960966
63,0.010097442413478664,0.035331461732872646,0.28579181041349727
64,0.010251976013158044,0.025108003335194935,0.4083150649569616
65,0.004536881017816573,0.048388934480563695,0.09375864681511299
66,0.004039572584228716,0.020129538920408717,0.2006788431667672
67,0.004891367213270585,0.019507014080161894,0.25074915068596915
68,0.006814293891885081,0.04149614407903347,0.1642151106556401
69,0.0043599901708365925,0.0203718537513072,0.21402029603431671
70,0.004749021177376639,0.05192956389902279,0.09145120468409239
71,0.004298112913445033,0.022370394077988857,0.19213398290028283
72,0.004632876604867075,0.04005192406610603,0.11567176141412837
73,0.004014129505628016,0.03978490006211349,0.10089580467112219
74,0.005520273574583013,0.045515665763982985,0.12128293592554631
75,0.0058403631813785176,0.030945035126774316,0.18873344810446105
76,0.00688755396591509,0.03367650054976421,0.20452107117046617
77,0.004842761934811554,0.02383883819530311,0.2031458871834854
78,0.005554530309408445,0.06498664582329292,0.0854718725509616
79,0.005610143320549043,0.038556888814913655,0.14550300848531011
80,0.005323736002450436,0.09291775514729497,0.0572951422895856
81,0.004849798757055297,0.0398078713454561,0.12183014547164553
82,0.004945847318812416,0.044289147286161824,0.11167176660107155
83,0.004387331402522416,0.04329830837191478,0.101328009508725
