epoch,train_loss,val_loss,val_macro_f1,val_acc,theta_disp,theta_disp_rel,phi_disp,phi_disp_rel,feat_disp,feat_disp_rel,input_jac_op,epoch_secs
1,1.1483803412912572,1.2316899704844098,0.20807730204227876,0.7127821971295096,0.9313046871916262,0.06718968632669195,2.1330210695683416,0.02570297830801957,44.9675407409668,0.44786361539134895,0.9882529973983765,28.86
2,0.9554395309721313,0.8565246077973505,0.2082239678130304,0.7128282231649036,2.208571006661426,0.15933903824245865,2.7299717987658276,0.03289625542207287,65.97534942626953,0.6570952743661506,,27.66
3,0.7240486464661449,0.7810777050199256,0.41858373852473046,0.7684736999562752,3.6872237468924034,0.2660175669437541,3.4980339049947107,0.04215143059931942,38.02385711669922,0.378706547852073,,27.34
4,0.5229990682298395,0.6803444959497321,0.49613230154618315,0.7652442064727948,4.324794991642508,0.312015630235863,4.209534043788442,0.05072503209556205,46.7155876159668,0.46527365339678106,,26.92
5,0.4418239422555714,0.21652774465644775,0.6708185270825666,0.9277774794608817,4.819768457596905,0.347725868114939,5.006078429544409,0.06032341973483822,48.51370620727539,0.4831823911203943,288.8131408691406,28.88
6,0.3710464663607222,0.19735530184737204,0.7161107829470078,0.9333926557789523,5.155471709085695,0.3719454350049114,5.310352683129395,0.06398993510646857,50.754512786865234,0.5055001723374921,,27.72
7,0.3542470703957317,0.24256751192157325,0.7376430544681126,0.9252690605319075,5.451070689607803,0.39327164870588865,5.619708477053715,0.06771768321647954,52.75914001464844,0.5254656759641781,,27.42
8,0.4339963880584891,0.3475542407377243,0.6824855682687615,0.9126195718044507,5.712163167308051,0.41210836446626886,5.828036952546591,0.07022804861461403,52.151554107666016,0.5194142972034519,,27.52
9,0.3479663520275994,3.3503497773270396,0.037800512979085654,0.07674841401953038,6.02274265601931,0.4345153583459422,6.106186386969595,0.07357975900386451,58.72635269165039,0.5848973771267115,,27.69
10,0.4028431868479413,0.36227731447802025,0.537987378359366,0.9021716617700078,6.240420330325999,0.45021988003271085,6.396077684064979,0.07707295924798313,55.09785461425781,0.5487585925589108,632.8882446289062,28.89
11,0.2964064091323413,0.2500317070468771,0.8304703646409624,0.9411710557605418,6.5135786941510485,0.4699270983419655,6.526074317408665,0.07863942321527274,56.092071533203125,0.5586607036475975,,27.42
12,0.5194106408150604,1.0469237681973897,0.4471655808476961,0.8902432475970574,6.654854489223927,0.48011954823194186,6.746565786442372,0.08129635310993319,54.169620513916016,0.5395136511354214,,27.25
13,0.29517111788154693,0.4794759718102518,0.5400438629438506,0.9048565138346591,6.8777420710745085,0.4961999426684986,6.952068050002908,0.08377266255567828,64.18759155273438,0.6392897263754781,,27.54
14,0.24535799745017572,0.7817568333473144,0.5107432371327797,0.7063845782097407,7.055215644553851,0.5090039088649025,7.047885897751169,0.08492727096406737,60.679481506347656,0.6043499715506362,,27.46
